pair_id,anchor,positive,positive_id,hard_negative,hard_negative_id,random_negative,random_negative_id,category,generation_type
P000001,搞实施经理的,项目经理,project_manager,资深产品经理,product_manager,渠道销售负责人,sales_manager,产品,T4_colloquial
P000002,类似用户增长这种的,运营经理,operations_manager,数据运营,data_analyst,嵌入式开发,software_engineer,运营,T4_colloquial
P000003,招一个做后勤经理的,行政经理,admin_manager,培训经理,hr_manager,法务经理,legal_manager,行政,T4_colloquial
P000004,董事长秘书，偏管理岗,行政经理,admin_manager,人事主管,hr_manager,副总经理,general_manager,行政,T7_context
P000005,资深设师计,设计师,designer,结构工程师,mechanical_engineer,安全负责人,software_engineer,设计,T6_typo
P000006,测试员专,测试工程师,test_engineer,游戏客户端工程师,software_engineer,私域运营经理,operations_manager,测试,T6_typo
P000007,Senior Sales Manager,销售经理,sales_manager,CMO,marketing_manager,投资分析师,investment_manager,销售,T2_seniority
P000008,雇主牌品负责人,人力资源经理,hr_manager,行政助理,admin_manager,界面设计师,designer,人力资源,T6_typo
P000009,招总聘监,人力资源经理,hr_manager,设施管理经理,admin_manager,项目VP,project_manager,人力资源,T6_typo
P000010,副资深设计师专家,设计师,designer,性能测试工程师,test_engineer,安全工程师,software_engineer,设计,T2_seniority
P000011,搞高级测试工程师的同事,测试工程师,test_engineer,team leader,software_engineer,运营负责人,operations_manager,测试,T4_colloquial
P000012,仓储经里,供应链经理,supply_chain_manager,高级机械工程师,mechanical_engineer,多媒体开发工程师,software_engineer,供应链,T6_typo
P000013,中后台责负人,总经理,general_manager,法务经理,legal_manager,首席人力官,hr_manager,管理,T6_typo
P000014,品产经理,产品经理,product_manager,PMO,project_manager,审计负责人,finance_manager,产品,T6_typo
P000015,初级行政助理,行政经理,admin_manager,招聘负责人,hr_manager,自然语言处理工程师,algorithm_engineer,行政,T2_seniority
P000016,资金经理，汇报给 CEO,财务经理,finance_manager,投资经理,investment_manager,后端 leader,software_engineer,财务,T7_context
P000017,成本经理，年包 60-80w,财务经理,finance_manager,投资VP,investment_manager,前台经理,admin_manager,财务,T7_context
P000018,后端 leader，跨部门协作多,软件工程师,software_engineer,业务架构师,architect,预算经理,finance_manager,开发,T7_context
P000019,CLO，之前做过开发,法务经理,legal_manager,FP&A经理,finance_manager,职业经理,general_manager,法务,T7_context
P000020,增长产吕经理,产品经理,product_manager,工程项目经理,project_manager,高级设计师,designer,产品,T6_typo
P000021,Junior Supply Chain Manager,供应链经理,supply_chain_manager,CAE工程师,mechanical_engineer,雇主品牌负责人,hr_manager,供应链,T2_seniority
P000022,数据挖掘工程,算法工程师,algorithm_engineer,服务端开发,software_engineer,用户体验设计师,designer,算法,T6_typo
P000023,公关经理，之前做过开发,市场经理,marketing_manager,区域经理,sales_manager,云架构师,architect,市场,T7_context
P000024,社区运营经理，年包 60-80w,运营经理,operations_manager,高级数据分析师,data_analyst,数据质量经理,data_analyst,运营,T7_context
P000025,员工关系经理，在腾讯带 10 人团队,人力资源经理,hr_manager,首席行政官,admin_manager,研发工程师,software_engineer,人力资源,T7_context
P000026,产品经理，IC 路线,产品经理,product_manager,项目总监,project_manager,总裁秘书,admin_manager,产品,T7_context
