candidate_variant,suggested_standard,suggested_standard_id,llm_currently_maps_to,evidence_context,note
做用户研究和竞品分析的人,产品经理,product_manager,设计师,在产品部门，用Axure画原型,LLM_failed_case_to_review
需求分析师,产品经理,product_manager,供应链经理,写PRD和需求文档，做产品方向,LLM_failed_case_to_review
社群增长专家,运营经理,operations_manager,产品经理,负责私域社群拉新和用户增长，用AB测试优化转化,LLM_failed_case_to_review
战略规划总监,总经理,general_manager,投资经理,做战略管理和业务规划,LLM_failed_case_to_review
数字化转型负责人,总经理,general_manager,数据分析师,推公司数字化转型，管IT和数据,LLM_failed_case_to_review
GTM策略负责人,市场经理,marketing_manager,运营经理,做go-to-market策略和市场推广,LLM_failed_case_to_review
数据工程师,数据分析师,data_analyst,算法工程师,做ETL和数据管道,LLM_failed_case_to_review
MLOps工程师,算法工程师,algorithm_engineer,软件工程师,做机器学习模型部署和运维,LLM_failed_case_to_review
RPA开发工程师,软件工程师,software_engineer,算法工程师,做流程自动化机器人,LLM_failed_case_to_review
全球化人事负责人,人力资源经理,hr_manager,总经理,管海外团队的HR和薪酬福利,LLM_failed_case_to_review
技术合伙人,软件工程师,software_engineer,总经理,创业公司的技术合伙人，管研发,LLM_failed_case_to_review
资深做用户研究和竞品分析的人,产品经理,product_manager,设计师,在产品部门，用Axure画原型,LLM_failed_case_to_review
资深需求分析师,产品经理,product_manager,软件工程师,写PRD和需求文档，做产品方向,LLM_failed_case_to_review
资深社群增长专家,运营经理,operations_manager,产品经理,负责私域社群拉新和用户增长，用AB测试优化转化,LLM_failed_case_to_review
资深战略规划总监,总经理,general_manager,投资经理,做战略管理和业务规划,LLM_failed_case_to_review
资深数字化转型负责人,总经理,general_manager,数据分析师,推公司数字化转型，管IT和数据,LLM_failed_case_to_review
资深数据工程师,数据分析师,data_analyst,算法工程师,做ETL和数据管道,LLM_failed_case_to_review
资深机器人产品经理,产品经理,product_manager,算法工程师,做服务机器人的产品规划,LLM_failed_case_to_review
资深全球化人事负责人,人力资源经理,hr_manager,总经理,管海外团队的HR和薪酬福利,LLM_failed_case_to_review
资深技术合伙人,软件工程师,software_engineer,总经理,创业公司的技术合伙人，管研发,LLM_failed_case_to_review
CMO（偏策略）,市场经理,marketing_manager,运营经理,,LLM_failed_case_to_review
首席投资总监（偏策略）,投资经理,investment_manager,算法工程师,看AI赛道,LLM_failed_case_to_review
首席CDO（偏策略）,设计师,designer,数据分析师,首席数据官，管数据团队,LLM_failed_case_to_review
