test_id,input_title,context,difficulty,target_level,expected,kg_level,kg_confidence
T_0045,首席增长官,公司用户增长负责人,medium,L2,运营经理,L0_kg_miss,0
T_0081,做用户研究和竞品分析的人,在产品部门，用Axure画原型,hard,L3,产品经理,L0_kg_miss,0
T_0082,需求分析师,写PRD和需求文档，做产品方向,hard,L3,产品经理,L0_kg_miss,0
T_0083,社群增长专家,负责私域社群拉新和用户增长，用AB测试优化转化,hard,L3,运营经理,L0_kg_miss,0
T_0084,抖音内容负责人,管理短视频团队做内容运营,hard,L3,运营经理,L0_kg_miss,0.556
T_0085,小红书运营,做品牌种草和内容策划,hard,L3,运营经理,L0_kg_miss,0
T_0086,SEM投放专家,在市场部做搜索引擎投放和媒介优化,hard,L3,市场经理,L0_kg_miss,0
T_0087,整合营销负责人,品牌策略、内容营销、公关传播全都管,hard,L3,市场经理,L0_kg_miss,0.634
T_0088,企业文化官,负责企业文化建设、员工关系和雇主品牌,hard,L3,人力资源经理,L0_kg_miss,0
T_0089,人才发展专家,做人才盘点和组织发展,hard,L3,人力资源经理,L0_kg_miss,0
T_0090,行研分析师,做尽职调查和估值分析，看科技赛道,hard,L3,投资经理,L0_kg_miss,0
T_0091,客户关系维护经理,做大客户维护，CRM管理,hard,L3,销售经理,L0_kg_miss,0
T_0092,解决方案总监,做售前方案呈现和商务谈判,hard,L3,销售经理,L0_kg_miss,0.5
T_0093,预算管理经理,负责全公司预算和财务报表,hard,L3,财务经理,L0_kg_miss,0.72
T_0094,数据可视化专家,用Tableau和PowerBI做报表，SQL取数,hard,L3,数据分析师,L0_kg_miss,0
T_0095,AB测试分析师,做数据建模和统计分析,hard,L3,数据分析师,L0_kg_miss,0
T_0096,微服务开发负责人,用Spring Cloud + K8s做微服务，管Docker容器,hard,L3,软件工程师,L0_kg_miss,0.505
T_0097,CI/CD工程师,做持续集成和自动化部署,hard,L3,软件工程师,L0_kg_miss,0.516
T_0098,分布式系统专家,做高可用和性能优化,hard,L3,架构师,L0_kg_miss,0
T_0099,自动化框架开发,用Selenium和JMeter做测试，接口测试和持续集成,hard,L3,测试工程师,L0_kg_miss,0
T_0100,深度学习研究员,发顶会论文，做PyTorch和机器学习，CV方向,hard,L3,算法工程师,L0_kg_miss,0
T_0101,搜索引擎算法,做搜索排序和推荐系统，特征工程,hard,L3,算法工程师,L0_kg_miss,0
T_0102,数据隐私顾问,做合规管理和数据隐私，了解GDPR,hard,L3,法务经理,L0_kg_miss,0
T_0103,精益生产顾问,做工厂精益生产和质量管理，控制成本,hard,L3,供应链经理,L0_kg_miss,0
T_0104,用研专家,做用户研究和交互设计，建设设计系统,hard,L3,设计师,L0_kg_miss,0
T_0105,办公管理负责人,管行政和差旅管理，做会议组织,hard,L3,行政经理,L0_kg_miss,0.556
T_0106,战略规划总监,做战略管理和业务规划,hard,L3,总经理,L0_kg_miss,0
T_0107,敏捷教练,推Scrum和敏捷开发，用JIRA管项目,hard,L3,项目经理,L0_kg_miss,0
T_0108,CAE仿真专家,用SolidWorks做结构设计和公差分析,hard,L3,机械工程师,L0_kg_miss,0
T_0109,云原生架构专家,做云原生和中间件，技术选型,hard,L3,架构师,L0_kg_miss,0
T_0110,感知融合工程师,做自动驾驶的感知算法和SLAM,hard,L3,算法工程师,L0_kg_miss,0.556
T_0115,增长黑客,用数据驱动做用户增长,hard,out_of_graph,运营经理,L0_kg_miss,0
T_0116,全栈产品设计师,又做UX又做UI还写点前端,hard,out_of_graph,设计师,L0_kg_miss,0.634
T_0117,AI训练师,做大模型的RLHF标注和prompt工程,hard,out_of_graph,算法工程师,L0_kg_miss,0
T_0118,Prompt工程师,做大模型prompt优化,hard,out_of_graph,算法工程师,L0_kg_miss,0
T_0119,数字化转型负责人,推公司数字化转型，管IT和数据,hard,out_of_graph,总经理,L0_kg_miss,0
T_0120,出海运营负责人,做东南亚市场的本地化运营,hard,out_of_graph,运营经理,L0_kg_miss,0.634
