key_name,skill_name
skill.ai_ability,人工智能技术
skill.ai_ability,Reinforcement Learning
skill.ai_ability,propensity models
skill.ai_ability,","
skill.ai_ability,0 样本提取
skill.ai_ability,0→1→100 阶段切换
skill.ai_ability,108M AI 超清技术
skill.ai_ability,1D-CNN
skill.ai_ability,1F1B 流水调度
skill.ai_ability,2A 算法调试
skill.ai_ability,2D Gan 数字人
skill.ai_ability,2D SLAM
skill.ai_ability,2D 人体关键点检测
skill.ai_ability,2D 图像识别
skill.ai_ability,2D 数字人生成
skill.ai_ability,2D 检测
skill.ai_ability,2D 检测算法
skill.ai_ability,2D 物体检测
skill.ai_ability,2D 特征点匹配
skill.ai_ability,2D 生成
skill.ai_ability,2D 目标检测
skill.ai_ability,2D 视觉
skill.ai_ability,2D 视觉方案
skill.ai_ability,2D 视觉算法
skill.ai_ability,2D 转 3D
skill.ai_ability,2D 转 3D 图像生成
skill.ai_ability,2D&2.5D 图像检测
skill.ai_ability,2D-to-3D Conversion
skill.ai_ability,2D/3D Generation
skill.ai_ability,2D/3D Vision
skill.ai_ability,2D/3D 交通目标检测
skill.ai_ability,2D/3D 人体姿态估计
skill.ai_ability,2D/3D 位姿估计
skill.ai_ability,2D/3D 姿态估计
skill.ai_ability,2D/3D 感知
skill.ai_ability,2D/3D 激光 SLAM
skill.ai_ability,2D/3D 目标检测
skill.ai_ability,2D/3D 视觉算法
skill.ai_ability,2D/3D 语义识别
skill.ai_ability,2D/3D/4D 生成
skill.ai_ability,2D/3D/BEV 目标检测
skill.ai_ability,2D/3DNR 调试
skill.ai_ability,3-Sigma 规则
skill.ai_ability,360 环视算法
skill.ai_ability,3A 降噪
skill.ai_ability,3D AI 建模
skill.ai_ability,3D AIGC
skill.ai_ability,3D Action Recognition
skill.ai_ability,3D Audio2Gesture
skill.ai_ability,3D Avatar Generation
skill.ai_ability,3D CNN
skill.ai_ability,3D Computer Vision
skill.ai_ability,3D Content Automation
skill.ai_ability,3D Content Creation
skill.ai_ability,3D Convolutional Neural Networks
skill.ai_ability,3D Detection
skill.ai_ability,3D GAT Diffusion
skill.ai_ability,3D Gaussian Splatting
skill.ai_ability,3D Generation
skill.ai_ability,3D Generative Model
skill.ai_ability,3D Grounding
skill.ai_ability,3D Hand Pose Estimation
skill.ai_ability,3D Hand Reconstruction
skill.ai_ability,3D Human Face Modeling
skill.ai_ability,3D Human Modeling
skill.ai_ability,3D Human Motion Capture
skill.ai_ability,3D Instance Segmentation
skill.ai_ability,3D Mapping
skill.ai_ability,3D Modeling
skill.ai_ability,3D Motion Modeling
skill.ai_ability,3D Object Detection
skill.ai_ability,3D Object Generation
skill.ai_ability,3D Object Tracking
skill.ai_ability,3D Occupancy
skill.ai_ability,3D Occupancy Prediction
skill.ai_ability,3D Point Cloud Geometry Analysis
skill.ai_ability,3D Point Cloud Learning
skill.ai_ability,3D Point Cloud Processing
skill.ai_ability,3D Point Cloud Unsupervised Learning
skill.ai_ability,3D Pose Estimation
skill.ai_ability,3D Printing
skill.ai_ability,3D Reasoning
skill.ai_ability,3D Reconstruction
skill.ai_ability,3D SLAM
skill.ai_ability,3D SLAM 定位和建图
skill.ai_ability,3D Scene Understanding
skill.ai_ability,3D Scene Understanding and Reconstruction
skill.ai_ability,3D Segmentation
skill.ai_ability,3D Shape Representation Learning
skill.ai_ability,3D ToF 算法
skill.ai_ability,3D VAE
skill.ai_ability,3D Vision
skill.ai_ability,3D content creation
skill.ai_ability,3D generation
skill.ai_ability,3D model reconstruction
skill.ai_ability,3D perception
skill.ai_ability,3D reconstruction
skill.ai_ability,3D 三维重建
skill.ai_ability,3D 人体估计
skill.ai_ability,3D 人体动作捕捉
skill.ai_ability,3D 人体动捕
skill.ai_ability,3D 人体姿态估计
skill.ai_ability,3D 人体建模
skill.ai_ability,3D 人体形状估计
skill.ai_ability,3D 人体模型生成
skill.ai_ability,3D 人体渲染
skill.ai_ability,3D 人体网格回归
skill.ai_ability,3D 人脸技术
skill.ai_ability,3D 人脸生成
skill.ai_ability,3D 人脸重建
skill.ai_ability,3D 位置估计
skill.ai_ability,3D 元件扩展
skill.ai_ability,3D 免示教
skill.ai_ability,3D 内容生成
skill.ai_ability,3D 几何深度学习
skill.ai_ability,3D 分割
skill.ai_ability,3D 动作捕捉
skill.ai_ability,3D 动态感知
skill.ai_ability,3D 动物重建
skill.ai_ability,3D 医疗图像大模型
skill.ai_ability,3D 占据栅格
skill.ai_ability,3D 占据栅格生成
skill.ai_ability,3D 占据预测
skill.ai_ability,3D 卷积网络
skill.ai_ability,3D 可视化
skill.ai_ability,3D 图像分割
skill.ai_ability,3D 图形渲染
skill.ai_ability,3D 地图构建
skill.ai_ability,3D 场景理解
skill.ai_ability,3D 场景生成
skill.ai_ability,3D 场景重建
skill.ai_ability,3D 多模态内容生成
skill.ai_ability,3D 姿态估计
skill.ai_ability,3D 定位重建
skill.ai_ability,3D 实例分割
skill.ai_ability,3D 并行
skill.ai_ability,3D 并行继续预训练
skill.ai_ability,3D 并行训练
skill.ai_ability,3D 建图
skill.ai_ability,3D 建模
skill.ai_ability,3D 建模与渲染
skill.ai_ability,3D 建模仿真渲染
skill.ai_ability,3D 影像分析
skill.ai_ability,3D 感知
skill.ai_ability,3D 感知编辑
skill.ai_ability,3D 感知视频编辑
skill.ai_ability,3D 手办形象生成
skill.ai_ability,3D 手势交互
skill.ai_ability,3D 手势关键点估计
skill.ai_ability,3D 手势识别
skill.ai_ability,3D 搜索
skill.ai_ability,3D 数字人
skill.ai_ability,3D 数字人建模与驱动
skill.ai_ability,3D 数字人生成
skill.ai_ability,3D 数字人驱动
skill.ai_ability,3D 数据处理
skill.ai_ability,3D 数据生成
skill.ai_ability,3D 数据集构建与评估
skill.ai_ability,3D 无标板标定
skill.ai_ability,3D 检测
skill.ai_ability,3D 检测算法
