test_id,category,difficulty,target_level,input_title,context,expected_standard_title,expected_standard_id,expected_seniority,expected_domain
T_0001,产品,easy,L1,产品经理,我目前做C端产品,产品经理,product_manager,,
T_0002,产品,easy,L1,PM,字节跳动做推荐产品的PM,产品经理,product_manager,,
T_0003,产品,easy,L1,产品总监,管三条产品线,产品经理,product_manager,总监,
T_0004,产品,easy,L1,CPO,,产品经理,product_manager,C-level,
T_0005,产品,easy,L1,AI产品经理,做大模型应用方向,产品经理,product_manager,,AI
T_0006,运营,easy,L1,用户运营,,运营经理,operations_manager,,用户
T_0007,运营,easy,L1,运营总监,管整个运营部门,运营经理,operations_manager,总监,
T_0008,运营,easy,L1,增长经理,,运营经理,operations_manager,,增长
T_0009,运营,easy,L1,COO,负责全公司运营,运营经理,operations_manager,C-level,
T_0010,市场,easy,L1,品牌经理,,市场经理,marketing_manager,,品牌
T_0011,市场,easy,L1,CMO,,市场经理,marketing_manager,C-level,
T_0012,人力资源,easy,L1,HRBP,对接技术团队,人力资源经理,hr_manager,,HRBP
T_0013,人力资源,easy,L1,招聘经理,,人力资源经理,hr_manager,,招聘
T_0014,投资,easy,L1,投资总监,看AI赛道,投资经理,investment_manager,总监,
T_0015,投资,easy,L1,合伙人,基金的GP,投资经理,investment_manager,,
T_0016,销售,easy,L1,BD经理,,销售经理,sales_manager,,BD
T_0017,销售,easy,L1,KA经理,负责大客户,销售经理,sales_manager,,大客户
T_0018,财务,easy,L1,CFO,,财务经理,finance_manager,C-level,
T_0019,数据分析,easy,L1,BI分析师,做Tableau报表,数据分析师,data_analyst,,BI
T_0020,数据分析,hard,L3_ambiguous,CDO,首席数据官，管数据团队,设计师,designer,C-level,
T_0021,开发,easy,L1,前端工程师,3年React经验,软件工程师,software_engineer,,前端
T_0022,开发,easy,L1,CTO,创业公司CTO,软件工程师,software_engineer,C-level,
T_0023,开发,easy,L1,Java工程师,,软件工程师,software_engineer,,后端
T_0024,测试,easy,L1,QA工程师,,测试工程师,test_engineer,,
T_0025,算法,easy,L1,NLP工程师,做大模型,算法工程师,algorithm_engineer,,NLP
T_0026,算法,easy,L1,推荐算法工程师,,算法工程师,algorithm_engineer,,推荐
T_0027,法务,easy,L1,法律顾问,,法务经理,legal_manager,,
T_0028,供应链,easy,L1,采购经理,,供应链经理,supply_chain_manager,,采购
T_0029,设计,easy,L1,UX设计师,,设计师,designer,,UX
T_0030,行政,easy,L1,行政助理,,行政经理,admin_manager,,
T_0031,产品,easy,L1,product manager,,产品经理,product_manager,,
T_0032,开发,easy,L1,tech lead,带5人后端,软件工程师,software_engineer,,
T_0033,开发,easy,L1,云架构师,,架构师,architect,,云
T_0034,产品,easy,L1,项目经理,做技术项目,项目经理,project_manager,,
T_0035,产品,easy,L1,TPM,Technical Program Manager,项目经理,project_manager,,技术
T_0036,管理,easy,L1,CEO,,总经理,general_manager,C-level,
T_0037,管理,easy,L1,事业部总经理,,总经理,general_manager,高级,事业部
T_0038,供应链,easy,L1,结构工程师,,机械工程师,mechanical_engineer,,结构
T_0039,算法,easy,L1,AIGC工程师,,算法工程师,algorithm_engineer,,AIGC
T_0040,销售,easy,L1,客户成功经理,,销售经理,sales_manager,,客户成功
T_0041,产品,medium,L2,高级产品策划,,产品经理,product_manager,高级/资深,
T_0042,产品,medium,L2,资深产品 owner,,产品经理,product_manager,高级/资深,
T_0043,运营,medium,L2,高级内容运营,,运营经理,operations_manager,高级/资深,内容
T_0044,运营,medium,L2,资深用户运营经理,,运营经理,operations_manager,高级/资深,用户
T_0045,运营,medium,L2,首席增长官,公司用户增长负责人,运营经理,operations_manager,,增长
T_0046,市场,medium,L2,高级品牌策划,,市场经理,marketing_manager,高级/资深,品牌
T_0047,市场,medium,L2,资深营销经理,做数字营销,市场经理,marketing_manager,高级/资深,营销
T_0048,人力资源,medium,L2,高级招聘专员,,人力资源经理,hr_manager,高级/资深,招聘
T_0049,人力资源,medium,L2,资深HRBP,,人力资源经理,hr_manager,高级/资深,HRBP
T_0050,投资,medium,L2,高级投资分析师,看医疗赛道,投资经理,investment_manager,高级/资深,
T_0051,销售,medium,L2,高级BD专员,,销售经理,sales_manager,高级/资深,BD
T_0052,销售,medium,L2,资深客户经理,,销售经理,sales_manager,高级/资深,
T_0053,财务,medium,L2,高级审计经理,,财务经理,finance_manager,高级/资深,审计
T_0054,数据分析,medium,L2,高级数据分析师,,数据分析师,data_analyst,高级/资深,
T_0055,数据分析,medium,L2,资深商业分析师,做BI方向,数据分析师,data_analyst,高级/资深,商业分析
